INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






1820,BITS F449,FINANCIAL ENGINEERING,3,-,3,1,ARUN KUMAR VAISH,6106,T Th S,3,13/05,FN
1338,BITS F463,CRYPTOGRAPHY,3,-,3,1,ABHISHEK MISHRA,6103,M W F,7,10/05,FN
II. COURSEWISE TIMETABLE,,,,,,7,,SECOND SEMESTER 2016-2017,,,,






1339,BITS F464,MACHINE LEARNING,3,-,3,1,KAMLESH TIWARI,6151,M W F,7,10/05,FN
1379,BITS F467,BIOETHICS & BIOSAFETY,3,-,3,1,R MAHESH,3158,T Th S,3,13/05,FN
1641,BITS F482,CREAT & LEAD ENTREP ORGN,3,-,3,1,JYOTI,6156,M W F,8,15/05,FN
499,BITS G511,ADVANCED PROJECTS,-,-,5,1,HEMANT R JADHAV,,,,,
547,BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,1,SRIKANTA ROUTROY,,,,,
754,BITS G529,RESEARCH PROJECT I,-,-,6,1,HEMANT R JADHAV,,,,,
755,BITS G539,RESEARCH PROJECT II,-,-,6,1,HEMANT R JADHAV,,,,,
2003,BITS G540,RESEARCH PRACTICE,-,-,4,1,HEMANT R JADHAV,,,,,
559,BITS G560,PRACTICE SCHOOL,-,-,20,1,NIRANJAN SWAIN,,,,,
575,BITS G561T,DISSERTATION,-,-,16,1,HEMANT R JADHAV,,,,,
2164,BITS G562T,DISSERTATION,-,-,16,1,HEMANT R JADHAV,,,,,
2165,BITS G563T,DISSERTATION,-,-,16,1,HEMANT R JADHAV,,,,,
756,BITS G629T,DISSERTATION,-,-,25,1,HEMANT R JADHAV,,,,,
809,BITS G639,PRACTICE SCHOOL,-,-,20,1,NIRANJAN SWAIN,,,,,
757,BITS G649,READING COURSE,-,-,5,1,SRIKANTA ROUTROY,,,,,
2167,BITS G661,RESEARCH METHODOLOGY I,-,-,5,1,HEMANT R JADHAV,,,,,
1191,CE F241,ANALYSIS OF STRUCTURES,3,-,3,1,ANSHUMAN,6101,M W F,3,11/05,FN
,,Tutorial,,,1,Anshuman,6101,T,1,,,
,,,,,2,Shaik Hussain,6102,T,1,,,
1192,CE F242,CONSTRUCTION PLAN & TECH,3,-,3,1,R GUPTA,6101,T Th S,3,13/05,FN
,,Tutorial,,,1,R Gupta,6101,M,1,,,
,,,,,,Makrand Waghle,,,,,,
,,,,,2,Vishakha Sakhare,6102,M,1,,,
1193,CE F243,SOIL MECHANICS,3,1,4,1,RAVI KANT MITTAL,6101,M W F,4,05/05,FN
,,Practical,,,1,Kamlesh Kumar,1131,T,7 8,,,
,,,,,,Gauravdeep Singh,,,,,,
,,,,,2,Kamlesh Kumar,1131,W,7 8,,,
II. COURSEWISE TIMETABLE,,,,,,8,,SECOND SEMESTER 2016-2017,,,,






,,,,,,Athira Gopinath,,,,,,
,,,,,,Manpreet Singh,,,,,,
,,,,,3,Shibani K Jha,1131,Th,7 8,,,
,,,,,,Kamlesh Kumar,,,,,,
,,,,,,Manpreet Singh,,,,,,
,,Tutorial,,,1,Kamlesh Kumar,6101,Th,1,,,
,,,,,,Athira Gopinath,,,,,,
,,,,,2,Gauravdeep Singh,6102,Th,1,,,
1194,CE F244,HIGHWAY ENGINEERING,3,1,4,1,NIKHIL SABOO,6101,T Th S,4,09/05,FN
,,Practical,,,1,Nikhil Saboo,1129,T,7 8,,,
,,,,,,Deval Mishra,,,,,,
,,,,,,Vidhi Vyas,,,,,,
,,,,,2,Prasanta Kumar Sahu,1129,Th,7 8,,,
,,,,,,Agnivesh P,,,,,,
,,,,,,Deval Mishra,,,,,,
,,,,,3,Durgesh Vikram,1129,F,7 8,,,
,,,,,,Makrand Waghle,,,,,,
,,,,,,Agnivesh P,,,,,,
,,Tutorial,,,1,Nikhil Saboo,6101,W,1,,,
,,,,,2,Durgesh Vikram,6102,W,1,,,
1652,CE F266,STUDY PROJECT,-,-,3,1,RAVI KANT MITTAL,,,,,
1198,CE F341,HYDRO & WATER RES ENGG,3,-,3,1,SHIBANI K JHA,6102,M W F,4,05/05,FN
,,Tutorial,,,1,Shibani K Jha,6103,Th,1,,,
,,,,,,Harish Puppala,,,,,,
,,,,,2,R. Srinivas,6104,Th,1,,,
1199,CE F342,WATER & WASTEWATER TREAT,3,1,4,1,ANUPAM SINGHAL,6105,M W F,5,03/05,FN
,,Practical,,,1,Anupam Singhal,1111,T,7 8,,,
II. COURSEWISE TIMETABLE,,,,,,,9,,SECOND SEMESTER 2016-2017,,,,

,,,,,,,Anuradha Devi,,,,,,
,,,,,,,Arun Nihal Singh,,,,,,
,,,,,,,Rahul Dandautiya,,,,,,
,,,,,,2,Bahurudeen A,1111,Th,7 8,,,
,,,,,,,Anuradha Devi,,,,,,
,,,,,,,Arun Nihal Singh,,,,,,
,,,,,,,Rahul Dandautiya,,,,,,
,,,Tutorial,,,1,Anupam Singhal,6107,S,1,,,
,,,,,,2,Bahurudeen A,6155,S,1,,,
1200,CE F343,DES OF STEEL STRUCTURES,,3,-,3,1,DIPENDU BHUNIA,6155,T Th S,5,12/05,FN
,,,Tutorial,,,1,Dipendu Bhunia,6155,F,1,,,
,,,,,,,Shaik Hussain,,,,,,
,,,,,,2,G Muthukumar,6101,F,1,,,
1667,CE F366,LABORATORY PROJECT,,-,-,3,1,RAVI KANT MITTAL,,,,,
1737,CE F367,LABORATORY PROJECT,,-,-,3,1,RAVI KANT MITTAL,,,,,
1686,CE F376,DESIGN PROJECT,,-,-,3,1,RAVI KANT MITTAL,,,,,
1753,CE F377,DESIGN PROJECT,,-,-,3,1,RAVI KANT MITTAL,,,,,
1233,CE F420,INTRO,TO BRIDGE ENGG,3,-,3,1,MANOJ KUMAR,6107,M W F,9,06/05,FN
1236,CE F423,GREEN BUILD & ENER CONSE,,3,-,3,1,R GUPTA,6108,M W F,3,11/05,FN
1224,CE F428,EARTHQUAKE RES DES & CON,,3,-,3,1,G MUTHUKUMAR,6153,M W F,7,10/05,FN
1219,CE F432,STRUCTURAL DYNAMICS,,3,-,3,1,DIPENDU BHUNIA,6105,M W F,8,15/05,FN
1234,CE F435,INTRODUCTION TO FEM,,3,-,3,1,MANOJ KUMAR,6108,T Th S,3,13/05,FN
1711,CE F491,SPECIAL PROJECT,,-,-,3,1,RAVI KANT MITTAL,,,,,
804,CE G516,MULTI CRITER ANAL IN ENGG,,3,1,4,1,R. SRINIVAS,6154,T Th S,4,16/05,AN
,,,,,,,Harish Puppala,,,,,,
256,CE G518,PAVEMENT ANALYSIS & DES,,3,1,4,1,AMIT GOEL,6160,M W F,4,13/05,AN
347,CE G520,INFRA STRUC PLAN & MANAG,,3,1,4,1,VISHAKHA SAKHARE,6153,M W F,8,04/05,AN
II. COURSEWISE TIMETABLE,,,,,,10,,SECOND SEMESTER 2016-2017,,,,






309,CE G524,URBAN MASS TRAN PLAN OP,3,1,4,1,PRASANTA KUMAR SAHU,6104,M W F,2,15/05,AN
,,,,,,AK Sarkar,,,,,,
